knowninhib_name,knowninhib_smiles,genmol_name,genmol_smiles,simil,cinfony-simil
KW-2449,O=C(c1ccc(/C=C/c2[nH]nc3ccccc23)cc1)N1CCNCC1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.059,0.1267605633802817
MLN-8054,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.029,0.09621993127147767
tozasertib,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.059,0.11068702290076336
aurora kinase inhibitor II,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.041,0.07725321888412018
aurora kinase inhibitor III,O=C(Nc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1)C1CC1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.048,0.08968609865470852
JNJ-7706621,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.034,0.08627450980392157
Cdk2 inhibitor IV,CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.093,0.14112903225806453
GSK-3 inhibitor XIII,Cc1cc(Nc2nc(-c3ccccc3)nc3ccccc23)n[nH]1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.054,0.07234042553191489
Rho kinase inhibitor IV,Cc1cncc2cccc(S(=O)(=O)N3CCCN(C(=O)CN)C[C@@H]3C)c12,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.072,0.11688311688311688
barasertib,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.069,0.08783783783783784
alisertib,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.033,0.10509554140127389
ENMD-2076,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.074,0.12195121951219512
danusertib,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.051,0.15901060070671377
AT-9283,O=C(NC1=CNN/C1=C1/N=c2ccc(CN3CCOCC3)cc2=N1)NC1CC1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.085,0.21115537848605578
GSK2334470,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.055,0.12260536398467432
AMG-900,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,4ztq_153_ligand.sdf,CCCC[C@@H]1CC([C@@H]2CO2)=C2NCC(=CO)[N][C@@H](O)[N][C@H]21,0.041,0.09090909090909091
