knowninhib_name,knowninhib_smiles,genmol_name,genmol_smiles,simil,cinfony-simil
barasertib-hQPA,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.045,0.08888888888888889
KW-2449,O=C(c1ccc(/C=C/c2[nH]nc3ccccc23)cc1)N1CCNCC1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.031,0.07563025210084033
MLN-8054,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.027,0.06153846153846154
tozasertib,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.063,0.09815950920245399
aurora kinase inhibitor II,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.01,0.06923076923076923
JNJ-7706621,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.022,0.0784313725490196
Cdk2 inhibitor IV,CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.075,0.11038961038961038
SU6656,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.04,0.07211538461538461
barasertib,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.029,0.08247422680412371
danusertib,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.035,0.07462686567164178
AT-9283,O=C(NC1=CNN/C1=C1/N=c2ccc(CN3CCOCC3)cc2=N1)NC1CC1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.065,0.07865168539325842
BX-795,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.049,0.09826589595375723
GSK2334470,CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.041,0.14556962025316456
AMG-900,Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.008,0.07272727272727272
MK-5108,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.071,0.10582010582010581
compound 25 [PMID: 20855207],Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc([C@@H](C)N3C[C@H](C)O[C@H](C)C3)ns2)n1,4af3_148_ligand.sdf,OCCCCC1CC12NC2C1CC1,0.025,0.08415841584158416
