knowninhib_name,knowninhib_smiles,genmol_name,genmol_smiles,simil,cinfony-simil
barasertib-hQPA,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.034,0.15346534653465346
KW-2449,O=C(c1ccc(/C=C/c2[nH]nc3ccccc23)cc1)N1CCNCC1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.021,0.09271523178807947
MLN-8054,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.039,0.08444444444444445
tozasertib,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.045,0.1076923076923077
aurora kinase inhibitor II,COc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.021,0.09316770186335403
JNJ-7706621,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.022,0.10382513661202186
Cdk2 inhibitor IV,CCN(CC)C(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.039,0.16201117318435754
SU6656,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.035,0.0743801652892562
barasertib,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.033,0.14351851851851852
danusertib,CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,4af3_148_ligand.sdf,CC(CN)CC(C(CC1C(O)C1CCC1C(O)C2C(C)C12)C1C2CC3OC3N21)C12CC1C2C,0.045,0.10480349344978165
