barasertib-hQPA,OCCN(CCCOc1ccc2c(c1)ncnc2Nc1[nH]nc(c1)CC(=O)Nc1cccc(c1)F)CC,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.062
KW-2449,O=C(c1ccc(cc1)/C=C/c1[nH]nc2c1cccc2)N1CCNCC1,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.045
MLN-8054,Clc1ccc2c(c1)C(=NCc1c2nc(nc1)Nc1ccc(cc1)C(=O)O)c1c(F)cccc1F,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.04
tozasertib,CN1CCN(CC1)c1nc(Sc2ccc(cc2)NC(=O)C2CC2)nc(c1)Nc1[nH]nc(c1)C,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.073
aurora kinase inhibitor II,COc1cc2c(ncnc2cc1OC)Nc1ccc(cc1)NC(=O)c1ccccc1,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.045
JNJ-7706621,Fc1cccc(c1C(=O)n1nc(nc1N)Nc1ccc(cc1)S(=O)(=O)N)F,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.038
Cdk2 inhibitor IV,CCN(C(=O)c1ccc(cc1)Nc1nc(OCC2CCCCC2)c2c(n1)nc[nH]2)CC,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.092
SU6656,O=C1Nc2c(/C/1=C/c1cc3c([nH]1)CCCC3)cc(cc2)S(=O)(=O)N(C)C,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.054
barasertib,CCN(CCOP(=O)(O)O)CCCOc1ccc2c(c1)ncnc2Nc1n[nH]c(c1)CC(=O)Nc1cccc(c1)F,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.053
danusertib,CO[C@@H](C(=O)N1Cc2c(C1)[nH]nc2NC(=O)c1ccc(cc1)N1CCN(CC1)C)c1ccccc1,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.063
AT-9283,O=C(Nc1c[nH][nH]/c/1=C/1\N=c2c(=N1)ccc(c2)CN1CCOCC1)NC1CC1,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.074
GSK2334470,CNc1nc(cc(n1)c1ccc2c(c1)[nH]nc2N)N1C[C@H](CC[C@H]1C)C(=O)NC1CCCCC1,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.06
AMG-900,Cc1csc(c1)c1nnc(c2c1cccc2)Nc1ccc(cc1)Oc1ncccc1c1ccnc(n1)N,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.044
MK-5108,OC(=O)C1(CCC(CC1)Oc1cccc(c1F)Cl)Cc1cccc(n1)Nc1nccs1,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.071
compound 25 [PMID: 20855207],C[C@@H]1O[C@H](C)CN(C1)[C@@H](c1nsc(c1)Nc1nc(C)cn2c1ncc2c1c[nH]nc1)C,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.053
compound 1 [PMID: 21742770],COc1cc(ccc1N1CCN(CC1)C)Nc1ccc2c(n1)n(nc2)c1ccc(cc1)OC,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.04
ZM447439,COc1cc2c(ncnc2cc1OCCCN1CCOCC1)Nc1ccc(cc1)NC(=O)c1ccccc1,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.051
hesperadin,CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(\c1ccccc1)/Nc1ccc(cc1)CN1CCCCC1)/C(=O)N2,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.063
compound 46 [PMID: 16451062],OCC1CCN(CC1)CCCOc1cc2ncnc(c2cc1OC)Nc1ncc(s1)CC(=O)Nc1cccc(c1)F,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.066
GSK1070916,CCn1nc(c(c1)c1ccnc2c1cc([nH]2)c1cccc(c1)CN(C)C)c1ccc(cc1)NC(=O)N(C)C,C=C[C@@](O)(C1CC1)[C@@H](O)[C@H]([SH][C@@H]([NH])CC)C(=O)NCC,0.06
